"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","test_post_data_validation[1]","tests.posts","Wed Feb 11 08:47:56 UTC 2026","passed","Wed Feb 11 08:47:56 UTC 2026","","test_get_posts_data_validation","",""
"","37","test_post_contract[1]","tests.posts","Wed Feb 11 08:47:54 UTC 2026","passed","Wed Feb 11 08:47:54 UTC 2026","","test_get_posts_contract","",""
"","42","test_post_contract[3]","tests.posts","Wed Feb 11 08:47:55 UTC 2026","passed","Wed Feb 11 08:47:55 UTC 2026","","test_get_posts_contract","",""
"","35","test_post_data_validation[3]","tests.posts","Wed Feb 11 08:47:57 UTC 2026","passed","Wed Feb 11 08:47:57 UTC 2026","","test_get_posts_data_validation","",""
"","237","test_update_post_put","tests.posts","Wed Feb 11 08:48:01 UTC 2026","passed","Wed Feb 11 08:48:01 UTC 2026","TestPostsCRUD","test_posts_crud","",""
"","41","test_get_post_not_found","tests.posts","Wed Feb 11 08:47:58 UTC 2026","passed","Wed Feb 11 08:47:58 UTC 2026","","test_get_posts_negative","",""
"","33","test_post_response_time","tests.posts","Wed Feb 11 08:47:59 UTC 2026","passed","Wed Feb 11 08:47:59 UTC 2026","","test_get_posts_performance","",""
"","99","test_delete_post","tests.posts","Wed Feb 11 08:48:03 UTC 2026","passed","Wed Feb 11 08:48:03 UTC 2026","TestPostsCRUD","test_posts_crud","",""
"","36","test_get_post","tests.posts","Wed Feb 11 08:48:01 UTC 2026","passed","Wed Feb 11 08:48:01 UTC 2026","TestPostsCRUD","test_posts_crud","",""
"","39","test_post_data_validation[4]","tests.posts","Wed Feb 11 08:47:57 UTC 2026","passed","Wed Feb 11 08:47:57 UTC 2026","","test_get_posts_data_validation","",""
"","37","test_post_headers","tests.posts","Wed Feb 11 08:47:57 UTC 2026","passed","Wed Feb 11 08:47:57 UTC 2026","","test_get_posts_headers","",""
"","238","test_post_contract[2]","tests.posts","Wed Feb 11 08:47:54 UTC 2026","passed","Wed Feb 11 08:47:54 UTC 2026","","test_get_posts_contract","",""
"","89","test_get_post_consistency","tests.posts","Wed Feb 11 08:47:53 UTC 2026","passed","Wed Feb 11 08:47:53 UTC 2026","","test_get_posts_behavior","",""
"","219","test_create_post","tests.posts","Wed Feb 11 08:48:00 UTC 2026","passed","Wed Feb 11 08:48:00 UTC 2026","TestPostsCRUD","test_posts_crud","",""
"","38","test_post_contract[4]","tests.posts","Wed Feb 11 08:47:56 UTC 2026","passed","Wed Feb 11 08:47:56 UTC 2026","","test_get_posts_contract","",""
"","100","test_update_post_patch","tests.posts","Wed Feb 11 08:48:02 UTC 2026","passed","Wed Feb 11 08:48:02 UTC 2026","TestPostsCRUD","test_posts_crud","",""
"","241","test_get_post_invalid_id","tests.posts","Wed Feb 11 08:47:59 UTC 2026","passed","Wed Feb 11 08:47:59 UTC 2026","","test_get_posts_negative","",""
"","40","test_post_data_validation[2]","tests.posts","Wed Feb 11 08:47:56 UTC 2026","passed","Wed Feb 11 08:47:56 UTC 2026","","test_get_posts_data_validation","",""
